id;lien_vers_la_fiche_pat;nom;regions;departements;code_insee;gouvernance;gouvernance_est_territoire_ressource;democratie_alimentaire;democratie_alimentaire_1_nom_de_laction;democratie_alimentaire_1_etat_davancement;democratie_alimentaire_1_est_ressource;democratie_alimentaire_1_resultat_attendu;democratie_alimentaire_1_resultat_atteint;democratie_alimentaire_1_descriptif;democratie_alimentaire_2_nom_de_laction;democratie_alimentaire_2_etat_davancement;democratie_alimentaire_2_est_ressource;democratie_alimentaire_2_resultat_attendu;democratie_alimentaire_2_resultat_atteint;democratie_alimentaire_2_descriptif;democratie_alimentaire_3_nom_de_laction;democratie_alimentaire_3_etat_davancement;democratie_alimentaire_3_est_ressource;democratie_alimentaire_3_resultat_attendu;democratie_alimentaire_3_resultat_atteint;democratie_alimentaire_3_descriptif;democratie_alimentaire_4_nom_de_laction;democratie_alimentaire_4_etat_davancement;democratie_alimentaire_4_est_ressource;democratie_alimentaire_4_resultat_attendu;democratie_alimentaire_4_resultat_atteint;democratie_alimentaire_4_descriptif;democratie_alimentaire_5_nom_de_laction;democratie_alimentaire_5_etat_davancement;democratie_alimentaire_5_est_ressource;democratie_alimentaire_5_resultat_attendu;democratie_alimentaire_5_resultat_atteint;democratie_alimentaire_5_descriptif;groupes_de_concertation_thematiques_perennes;groupes_de_concertation_thematiques_perennes_1_nom_de_laction;groupes_de_concertation_thematiques_perennes_1_etat_davancement;groupes_de_concertation_thematiques_perennes_1_est_ressource;groupes_de_concertation_thematiques_perennes_1_resultat_attendu;groupes_de_concertation_thematiques_perennes_1_resultat_atteint;groupes_de_concertation_thematiques_perennes_1_descriptif;groupes_de_concertation_thematiques_perennes_2_nom_de_laction;groupes_de_concertation_thematiques_perennes_2_etat_davancement;groupes_de_concertation_thematiques_perennes_2_est_ressource;groupes_de_concertation_thematiques_perennes_2_resultat_attendu;groupes_de_concertation_thematiques_perennes_2_resultat_atteint;groupes_de_concertation_thematiques_perennes_2_descriptif;groupes_de_concertation_thematiques_perennes_3_nom_de_laction;groupes_de_concertation_thematiques_perennes_3_etat_davancement;groupes_de_concertation_thematiques_perennes_3_est_ressource;groupes_de_concertation_thematiques_perennes_3_resultat_attendu;groupes_de_concertation_thematiques_perennes_3_resultat_atteint;groupes_de_concertation_thematiques_perennes_3_descriptif;groupes_de_concertation_thematiques_perennes_4_nom_de_laction;groupes_de_concertation_thematiques_perennes_4_etat_davancement;groupes_de_concertation_thematiques_perennes_4_est_ressource;groupes_de_concertation_thematiques_perennes_4_resultat_attendu;groupes_de_concertation_thematiques_perennes_4_resultat_atteint;groupes_de_concertation_thematiques_perennes_4_descriptif;groupes_de_concertation_thematiques_perennes_5_nom_de_laction;groupes_de_concertation_thematiques_perennes_5_etat_davancement;groupes_de_concertation_thematiques_perennes_5_est_ressource;groupes_de_concertation_thematiques_perennes_5_resultat_attendu;groupes_de_concertation_thematiques_perennes_5_resultat_atteint;groupes_de_concertation_thematiques_perennes_5_descriptif;modalites_dimplication_du_grand_public_perennes;modalites_dimplication_du_grand_public_perennes_1_nom_de_laction;modalites_dimplication_du_grand_public_perennes_1_etat_davancement;modalites_dimplication_du_grand_public_perennes_1_est_ressource;modalites_dimplication_du_grand_public_perennes_1_resultat_attendu;modalites_dimplication_du_grand_public_perennes_1_resultat_atteint;modalites_dimplication_du_grand_public_perennes_1_descriptif;modalites_dimplication_du_grand_public_perennes_2_nom_de_laction;modalites_dimplication_du_grand_public_perennes_2_etat_davancement;modalites_dimplication_du_grand_public_perennes_2_est_ressource;modalites_dimplication_du_grand_public_perennes_2_resultat_attendu;modalites_dimplication_du_grand_public_perennes_2_resultat_atteint;modalites_dimplication_du_grand_public_perennes_2_descriptif;modalites_dimplication_du_grand_public_perennes_3_nom_de_laction;modalites_dimplication_du_grand_public_perennes_3_etat_davancement;modalites_dimplication_du_grand_public_perennes_3_est_ressource;modalites_dimplication_du_grand_public_perennes_3_resultat_attendu;modalites_dimplication_du_grand_public_perennes_3_resultat_atteint;modalites_dimplication_du_grand_public_perennes_3_descriptif;modalites_dimplication_du_grand_public_perennes_4_nom_de_laction;modalites_dimplication_du_grand_public_perennes_4_etat_davancement;modalites_dimplication_du_grand_public_perennes_4_est_ressource;modalites_dimplication_du_grand_public_perennes_4_resultat_attendu;modalites_dimplication_du_grand_public_perennes_4_resultat_atteint;modalites_dimplication_du_grand_public_perennes_4_descriptif;modalites_dimplication_du_grand_public_perennes_5_nom_de_laction;modalites_dimplication_du_grand_public_perennes_5_etat_davancement;modalites_dimplication_du_grand_public_perennes_5_est_ressource;modalites_dimplication_du_grand_public_perennes_5_resultat_attendu;modalites_dimplication_du_grand_public_perennes_5_resultat_atteint;modalites_dimplication_du_grand_public_perennes_5_descriptif
1312;https://france-pat.fr/pat/pat-de-louest-rhodanien/;"PAT de la Communauté d’Agglomération de l’Ouest Rhodanien";Auvergne-Rhône-Alpes;Rhône;69008,69225,69169,69188,69229,69248,69066,69102,69157,69174,69234,69160,69254,69001,69054,69070,69214,69037,69107,69164,69217,69240,69075,69181,69006,69093,69200,69060,69130,69183,69243;non;non;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;
1314;https://france-pat.fr/pat/pat-des-pierres-dorrees/;"PAT de la Communauté de Communes Beaujolais Pierres Dorées";Auvergne-Rhône-Alpes;Rhône;69134,69245,69113,69246,69239,69230,69005,69009,69049,69017,69090,69111,69106,69121,69055,69126,69050,69004,69059,69047,69122,69052,69212,69020,69140,69039,69156,69024,69159,69125,69026,69056;non;non;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;
1315;https://france-pat.fr/pat/pat-des-monts-du-lyonnais/;"PAT des Monts du Lyonnais";Auvergne-Rhône-Alpes;"Rhône, Loire";69201,69220,42062,69078,69095,69184,69263,69062,69132,69203,69227,69187,69030,69098,42216,42335,69031,69099,69155,42336,69014,42102,69120,69138,42138,69139,42055,69178,69238,69038,69042,69110;oui;non;oui;"Action 5-1 : Coordonner la démarche, la gouvernance, et assurer l’animation transversale";"Action en cours";non;;;"Co-construire une gouvernance partagée : Organiser les Comités directeurs  et Comités de pilotage nécessaires à l'avancement du PAT   mettre en lien les partenaires, construire des outils de dialogue territorial efficaces.
le Conseil de Développement local joue le rôle d'instance citoyenne dans la concertation et la consultation du PAT.";;;non;;;;;;non;;;;;;non;;;;;;non;;;;oui;"ACTION 1-15 : Animer les dynamiques ";"Action en cours";oui;"- Evolution du nombre d’ETP travaillant sur l’agriculture et l’alimentation sur l’ensemble du territoire que ce soit dans les structure publique, chambre consulaire ou autre association agricole. - Evolution du nombre de collectifs agricoles. - Mise en place de dispositifs d’animation structurant. - Mise en place d’organisation territoriale permettant de soutenir la transition agroécologique des filières.";;"Afin de faire naitre des dynamiques, de les structurer, de trouver des financements, de les mettre en place et de les suivre dans le temps, une animation territoriale est nécessaire.
Démarche, conduite de l’action : en quoi consiste l’action ? 
•	Maintien des moyens d’animation
•	Favoriser les échanges entre agriculteurs et collectifs du territoire 
•	S’inspirer à l’extérieur du territoire
Cela passe par : 
•	La recherche de financements
•	L’organisation de temps d’interconnaissance et d’échanges de pratiques, réflexions, idées.
•	Des interventions thématiques
•	Programmes de visites.";"ACTION 1-15.a : Production et partage de semences";"Action programmée";non;"Nombre de collectifs ayant travaillé sur la production et l’échange de semences, nombre d’organisation en place, quantité de semences produites.";;"Encourager les collectifs à organiser et mettre en place la production de certaines semences. Faciliter les démarches.";"ACTION 3-10 :  Création d’un réseau de cuisiniers de la restauration collective ";"Action programmée";non;;;"•	Formation / sensibilisation des cuisiniers, aux menus végé notamment
•	Mise en place de groupes d'échanges de pratiques
•	Mise en place d'ateliers de cuisine avec les enfants, pour leur faire connaître les produits de saison. Il pourrait y avoir des concours de cuisine, mais aussi des visites de fermes";;;non;;;;;;non;;;;oui;"Action 5-4 : Communiquer sur la démarche PAT et sur les actions


";"Action programmée";non;;;"Créer des outils de communication adapté à chaque public : acteurs de territoire, habitants, ...
Créer un annuaire d'intervenants capables de faire de la sensibilisation, d'intervenir en nutrition, gestion des déchets, gaspillage, etc… 
Permettre aux organisateurs d'événements de s'approprier la thématique de l'alimentation : par la valorisation de la démarche PAT dans leur communication (logo, agenda, ...), par l'approvisionnement en local pour les restaurations et buvettes des événements ...
";;;non;;;;;;non;;;;;;non;;;;;;non;;;
1316;https://france-pat.fr/pat/pait-de-louest-lyonnais/;"PAiT du Syndicat de l'Ouest Lyonnais";Auvergne-Rhône-Alpes;Rhône;69043,69094,69027,69112,69131,69028,69010,69133,69170,69228,69154,69171,69083,69249,69032,69136,69173,69190,69231,69268,69051,69067,69208,69269,69086,69175,69176,69177,69255,69141,69021,69179,69216,69022,69057,69180,69241,69076,69148,69166,69219;non;oui;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;;non;"Mise en place d'un réseau des élus référents communaux sur l'alimentation";"Action en cours";oui;;;"Afin de favoriser la dynamique collective autour du PAT de l'Ouest Lyonnais, de faciliter l'appropriation du cadre stratégique du PAT, d'encourager le partage d'expérience et la valorisation des actions mises en oeuvre à l'échelle communale, un élu a été désigné dans chacune des 41 communes du territoire.
Cette instance se réunit régulièrement (3 à 4 fois par an).";;;non;;;;;;non;;;;;;non;;;;;;non;;;;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;
1317;https://france-pat.fr/pat/pat-de-la-savoie/;"PAT du Département de la Savoie";Auvergne-Rhône-Alpes;Savoie;73008,73301,73128,73059,73300,73050,73076,73328,73103,73051,73193,73091,73273,73085,73265,73218,73286,73288,73155,73179,73137,73087,73281,73310,73101,73204,73100,73005,73004,73226,73233,73275,73033,73105,73192,73094,73234,73123,73114,73186,73088,73303,73070,73028,73245,73330,73149,73140,73042,73327,73180,73097,73210,73294,73293,73043,73027,73104,73309,73214,73219,73191,73184,73001,73145,73058,73022,73081,73152,73122,73254,73271,73313,73147,73299,73078,73156,73269,73023,73178,73090,73139,73073,73031,73222,73075,73099,73021,73229,73092,73246,73282,73326,73160,73228,73064,73249,73129,73079,73053,73120,73270,73096,73018,73170,73162,73011,73121,73130,73086,73188,73283,73183,73247,73280,73306,73320,73307,73194,73157,73324,73082,73302,73276,73316,73159,73200,73207,73133,73289,73217,73095,73311,73237,73109,73205,73168,73252,73074,73220,73315,73272,73069,73052,73041,73166,73072,73049,73068,73007,73223,73119,73117,73175,73019,73216,73268,73154,73110,73298,73014,73196,73153,73292,73308,73032,73063,73317,73132,73262,73054,73253,73190,73131,73024,73083,73278,73221,73231,73230,73013,73012,73248,73067,73224,73267,73116,73318,73259,73189,73256,73261,73026,73322,73181,73015,73057,73161,73055,73113,73077,73197,73142,73071,73206,73201,73323,73285,73176,73232,73296,73304,73274,73107,73010,73006,73150,73284,73227,73290,73151,73236,73003,73212,73215,73061,73250,73255,73084,73173,73040,73047,73243,73098,73146,73242,73187,73029,73208,73182,73124,73297,73171,73211,73017,73225,73235,73257,73030,73213,73025,73039,73020,73036,73263,73164,73240,73141,73034,73177,73048,73241,73138,73135,73258,73277,73106,73312,73202,73089,73314,73329,73065;non;non;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;
1318;https://france-pat.fr/pat/pat-du-grand-lac/;"PAT du Grand Lac";Auvergne-Rhône-Alpes;Savoie;73008,73301,73128,73059,73300,73050,73076,73328,73103,73051,73193,73091,73273,73085,73265,73218,73286,73155,73327,73180,73043,73073,73010,73208,73182,73263,73164,73329;oui;non;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;;oui;"Faire émerger les thématiques (action O1-1) et évaluer et ajuster les indicateurs nécessaires à l'évaluation (action O1-2)";"Action en cours";non;"Evolution du PAT en lien avec les attentes des acteurs";;"Organiser des rencontres thématiques regroupant les acteurs du circuit alimentaire local, professionnels et citoyen (via représentants de l'atelier citoyen). 
Objectifs de faire émerger les problématiques, les solutions et d'évaluer les actions";;;non;;;;;;non;;;;;;non;;;;;;non;;;;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;
1319;https://france-pat.fr/pat/pat-darlysere/;"PAT d'Arlysère";Auvergne-Rhône-Alpes;Savoie;73211,73283,73011,73129,73303,73088,73130,73268,73014,73132,73153,73032,73110,73154,73216,73308,73196,73034,73094,73114,73292,73312,73061,73202,73063,73297,73121,73162,73241,73298,73186,73123,73262,73317,73048,73124,73188,73086,73170;oui;non;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;
1320;https://france-pat.fr/pat/pat-du-coeur-de-savoie/;"PAT de la Communauté de Communes de Cœur de Savoie";Auvergne-Rhône-Alpes;Savoie;73133,73215,73270,73017,73075,73289,73018,73217,73095,73200,73096,73159,73311,73021,73079,73041,73120,73141,73183,73276,73082,73099,73205,73240,73314,73315,73084,73166,73207,73316,73068,73069,73171,73302,73151,73247,73052,73072,73089,73053,73324;non;non;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;
1321;https://france-pat.fr/pat/pat-du-grand-annecy/;"PAT du Grand Annecy";Auvergne-Rhône-Alpes;Haute-Savoie;74067,74267,74142,74194,74232,74036,74054,74176,74213,74233,74254,74019,74275,74002,74108,74198,74310,74219,74004,74111,74148,74060,74112,74061,74062,74097,74186,74282,74242,74299,74137,74010,74138,74303;non;non;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;
1322;https://france-pat.fr/pat/pat-de-faucigny-glieres/;"PAT de la Communauté de communes Faucigny Glières";Auvergne-Rhône-Alpes;Haute-Savoie;74212,74087,74049,74024,74042,74312,74164;non;non;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;
1323;https://france-pat.fr/pat/pat-du-genevois/;"PAT de la Communauté de Communes du Genevois";Auvergne-Rhône-Alpes;Haute-Savoie;74044,74201,74243,74124,74309,74069,74288,74082,74260,74144,74074,74296,74216,74031,74016,74101,74314;oui;non;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;;oui;"Mettre en place une gouvernance alimentaire multi-acteurs et pérenniser l’action des partenaires aux côtés de la CCG
";"Action en cours";non;;;"Définir les instances de pilotage et de suivi de la mise en œuvre du PAT, leur composition et leur rôle, formaliser avec les partenaires clefs les modalités de participation, statuer sur le fonctionnement dans la durée des différentes instances, formaliser l’engagement des partenaires via une charte, définir les modalités de consultation du système alimentaire (temps forts du PAT et leurs objectifs), valider les moyens d’animation du PAT, inscrire la participation des communes au sein des instances de gouvernance";"Inscrire le PAT dans une logique de coopération inter-service et garantir l’articulation du PAT avec les démarches portées par la CCG
";"Action en cours";non;;;"Identifier les services et programmes de la CCG en lien avec le PAT, mettre en place une représentation au sein de la gouvernance du PAT, mettre en place un pilotage pertinent des actions transversales avec les services concernés, valider la présence de l’animateur du PAT dans les instances des projets des autres services pour s’assurer de la cohérence d’actions entre le PAT et les programmes structurants de la CCG";"Inscrire le PAT dans une logique de coopération interterritoriale
";"Action en cours";non;;;"Participer aux évènements inter-PAT départementaux/régionaux, identifier les opportunités de synergies entre les territoires et porter/contribuer à des actions communes pertinentes avec le plan d’action du PAT, inscrire le PAT dans les démarches de coopération du Pôle Métropolitain du Genevois Français, intégrer les PAT voisins aux instances du PAT de la CCG";;;non;;;;;;non;;;;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;
1324;https://france-pat.fr/pat/pat-de-thonon/;"PAT de Thonon Agglomération";Auvergne-Rhône-Alpes;Haute-Savoie;74048,74206,74171,74121,74156,74013,74157,74210,74053,74070,74105,74126,74106,74020,74163,74293,74180,74199,74005,74025,74043,74150,74281,74315,74263;oui;non;oui;"Gouvernance du PAT - Instance des parties prenantes ouvertes à tous";"Action programmée";non;"Faire rayonner les actions du PAT et favoriser l'arrivée de nouvelles forces vives pour le faire vivre";;"Gouvernance et partenariats : 

Le Projet Alimentaire Territorial de Thonon Agglomération est ambitieux, concret et fédérateur, afin d’être à la hauteur des enjeux que nous connaissons (résilience et souveraineté alimentaire, protection de l’environnement, justice sociale, …) et d’accélérer la transition agricole et alimentaire du territoire.

L'agglomération a donc fait le choix d'une gouvernance dite ""Bottom-up"", reposant sur la participation communautaire des forces vives du territoire, l'autonomisation et la responsabilisation des acteurs locaux dans l'élaboration et la conduite du projet.

•	Instance des parties prenantes : Les acteurs multithématiques identifiés  lors des diagnostics ont été largement invités à participer à l’instance des parties prenantes où a été partagé le diagnostic le 31 mai 2023. Après avoir travaillé ensemble sur l’identification des enjeux du territoire et la complétion du diagnostic, certains se sont portés volontaires pour faire partie du groupe de travail permanent du Projet Alimentaire Territorial le CPAT.
Pour la future mise en œuvre de la feuille de route du PAT, une rencontre bilan annuelle est prévue avec l’instance des parties prenantes, le COPIL et le CPAT afin d’ouvrir régulièrement le projet à une participation plus large et de qualité.
•	Conseil du Projet Alimentaire Territorial (CPAT) : Composé d’acteurs volontaires du secteur professionnel, associatif et de la société civile organisée, le CPAT est chargé d’élaborer la feuille de route du PAT et de la mise en œuvre de ses actions. Le bureau d’étude Aire Publique, spécialisé dans la concertation publique, a formé le collectif de travail afin d’établir des règles de travail formalisées dans la Charte d’engagement du CPAT.
•	Comité de Pilotage (CoPil) : Le Comité de Pilotage du Projet Alimentaire Territorial propose des arbitrages au Bureau Communautaire Elargi (BCE). Il établit un lien politique entre le travail du CPAT et les différents représentants des instances qui le compose et permet un échange sur les documents issus du travail du CPAT d’un point de vue politique. Il est composé d’un groupe mixte d’élus de l’agglomération, des communes et de quatre représentants du CPAT.
•	Groupe de travail Interservices du Projet Alimentaire Territorial (GIS-PAT) : Le GIS du PAT est un groupe de travail créé afin de valoriser le travail déjà réalisé sur les thématiques du PAT dans d’autres services de l’agglomération. Il favorise la cohérence entre les différents plans politiques de l’Agglomération et impulse des actions en faveur de la transition en capitalisant en transversalité les compétences internes de l’agglomération.   
";;;non;;;;;;non;;;;;;non;;;;;;non;;;;oui;"Gouvernance du PAT - Conseil du Projet Alimentaire Territorial";"Action en cours";non;"Créer un réseau d'acteurs locaux impliquer dans cette démarche territoriale pour garanti l'opérationnalité de celle-ci";"Continuité des réunions et des participants";"Gouvernance et partenariats : 

Le Projet Alimentaire Territorial de Thonon Agglomération est ambitieux, concret et fédérateur, afin d’être à la hauteur des enjeux que nous connaissons (résilience et souveraineté alimentaire, protection de l’environnement, justice sociale, …) et d’accélérer la transition agricole et alimentaire du territoire.

L'agglomération a donc fait le choix d'une gouvernance dite ""Bottom-up"", reposant sur la participation communautaire des forces vives du territoire, l'autonomisation et la responsabilisation des acteurs locaux dans l'élaboration et la conduite du projet.

•	Instance des parties prenantes : Les acteurs multithématiques identifiés  lors des diagnostics ont été largement invités à participer à l’instance des parties prenantes où a été partagé le diagnostic le 31 mai 2023. Après avoir travaillé ensemble sur l’identification des enjeux du territoire et la complétion du diagnostic, certains se sont portés volontaires pour faire partie du groupe de travail permanent du Projet Alimentaire Territorial le CPAT.
Pour la future mise en œuvre de la feuille de route du PAT, une rencontre bilan annuelle est prévue avec l’instance des parties prenantes, le COPIL et le CPAT afin d’ouvrir régulièrement le projet à une participation plus large et de qualité.
•	Conseil du Projet Alimentaire Territorial (CPAT) : Composé d’acteurs volontaires du secteur professionnel, associatif et de la société civile organisée, le CPAT est chargé d’élaborer la feuille de route du PAT et de la mise en œuvre de ses actions. Le bureau d’étude Aire Publique, spécialisé dans la concertation publique, a formé le collectif de travail afin d’établir des règles de travail formalisées dans la Charte d’engagement du CPAT.
•	Comité de Pilotage (CoPil) : Le Comité de Pilotage du Projet Alimentaire Territorial propose des arbitrages au Bureau Communautaire Elargi (BCE). Il établit un lien politique entre le travail du CPAT et les différents représentants des instances qui le compose et permet un échange sur les documents issus du travail du CPAT d’un point de vue politique. Il est composé d’un groupe mixte d’élus de l’agglomération, des communes et de quatre représentants du CPAT.
•	Groupe de travail Interservices du Projet Alimentaire Territorial (GIS-PAT) : Le GIS du PAT est un groupe de travail créé afin de valoriser le travail déjà réalisé sur les thématiques du PAT dans d’autres services de l’agglomération. Il favorise la cohérence entre les différents plans politiques de l’Agglomération et impulse des actions en faveur de la transition en capitalisant en transversalité les compétences internes de l’agglomération.   
";;;non;;;;;;non;;;;;;non;;;;;;non;;;;oui;"Gouvernance du PAT - Instance des parties prenantes ouvertes à tous";"Action programmée";non;"Faire rayonner les actions du PAT et favoriser l'arrivée de nouvelles forces vives pour le faire vivre";;"Gouvernance et partenariats : 

Le Projet Alimentaire Territorial de Thonon Agglomération est ambitieux, concret et fédérateur, afin d’être à la hauteur des enjeux que nous connaissons (résilience et souveraineté alimentaire, protection de l’environnement, justice sociale, …) et d’accélérer la transition agricole et alimentaire du territoire.

L'agglomération a donc fait le choix d'une gouvernance dite ""Bottom-up"", reposant sur la participation communautaire des forces vives du territoire, l'autonomisation et la responsabilisation des acteurs locaux dans l'élaboration et la conduite du projet.

•	Instance des parties prenantes : Les acteurs multithématiques identifiés  lors des diagnostics ont été largement invités à participer à l’instance des parties prenantes où a été partagé le diagnostic le 31 mai 2023. Après avoir travaillé ensemble sur l’identification des enjeux du territoire et la complétion du diagnostic, certains se sont portés volontaires pour faire partie du groupe de travail permanent du Projet Alimentaire Territorial le CPAT.
Pour la future mise en œuvre de la feuille de route du PAT, une rencontre bilan annuelle est prévue avec l’instance des parties prenantes, le COPIL et le CPAT afin d’ouvrir régulièrement le projet à une participation plus large et de qualité.
•	Conseil du Projet Alimentaire Territorial (CPAT) : Composé d’acteurs volontaires du secteur professionnel, associatif et de la société civile organisée, le CPAT est chargé d’élaborer la feuille de route du PAT et de la mise en œuvre de ses actions. Le bureau d’étude Aire Publique, spécialisé dans la concertation publique, a formé le collectif de travail afin d’établir des règles de travail formalisées dans la Charte d’engagement du CPAT.
•	Comité de Pilotage (CoPil) : Le Comité de Pilotage du Projet Alimentaire Territorial propose des arbitrages au Bureau Communautaire Elargi (BCE). Il établit un lien politique entre le travail du CPAT et les différents représentants des instances qui le compose et permet un échange sur les documents issus du travail du CPAT d’un point de vue politique. Il est composé d’un groupe mixte d’élus de l’agglomération, des communes et de quatre représentants du CPAT.
•	Groupe de travail Interservices du Projet Alimentaire Territorial (GIS-PAT) : Le GIS du PAT est un groupe de travail créé afin de valoriser le travail déjà réalisé sur les thématiques du PAT dans d’autres services de l’agglomération. Il favorise la cohérence entre les différents plans politiques de l’Agglomération et impulse des actions en faveur de la transition en capitalisant en transversalité les compétences internes de l’agglomération.   
";;;non;;;;;;non;;;;;;non;;;;;;non;;;
1325;https://france-pat.fr/pat/pat-du-rochois/;"PAT de la Commune de la Roche sur Foron et communauté de communes du Pays rochois";Auvergne-Rhône-Alpes;Haute-Savoie;74059,74224,74250,74253,74007,74244,74116,74090,74018;non;non;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;
1326;https://france-pat.fr/pat/pat-de-dijon-metropole/;"PAT de Dijon Métropole";Bourgogne-Franche-Comté;Côte-d'Or;21390,21166,21270,21192,21485,21617,21223,21003,21315,21540,21515,21355,21105,21171,21605,21370,21473,21106,21452,21263,21481,21278,21231;oui;oui;oui;"Organiser et accueillir à Dijon, la 4ème édition des Assises de la transition alimentaire en septembre 2026";"Action programmée";oui;"nombre de participants au congrès, nombre de participants aux évènements du ""festival"" , satisfaction des participants, ?";;"Dijon métropole a été retenue comme territoire hôte des 4ième assises territoriales de la transition agroécologique et de l'alimentation durable qui se tient en biennale en France depuis 2018. Cet évènement qui rassemble 800 à 1000 congressistes pendant 2 jours est fixé aux 21 et 22 septembre 2026. Il sera le pilier du festival de la transition alimentaire ProDij pendant le mois de septembre 2026 permettant d'associer les habitants citoyens-consommateurs à la modification de leurs habitudes alimentaires. Pour donner tout l'écho attendu à cette manifestation, des évènements d'implication de différents groupes d'habitants (séniors, étudiants, familles précaires, scolaires, …) auront lieu à partir de septembre 2025. L'édition 2026 mettra l'accent sur le rôle des entreprises dans la transition alimentaire. ?";;;non;;;;;;non;;;;;;non;;;;;;non;;;;oui;"Adapter et diffuser la charte d’engagements réciproques du Programme des ProDijieux en impliquant diverses communautés de consommateurs ?";"Action programmée";non;"nombre de labels ou de marques ayant adopté la charte ou/et ses critères ?";;"Par l'intermédiaire d'un Hakathon, élargir la charte d'engagement réciproques entre consommateurs et agriculteurs à un grand nombre de consommateurs en enrichissant et précisant les engagements ?
Rendre public les engagements réciproques et mesurer leurs impacts sociaux, économiques et environnementaux.?
Contribuer à l'amélioration des labels existants qu'ils soient sous forme de label à traçabilité complète en tierce partie ou sous forme de marque de reconnaissance.?

?";;;non;;;;;;non;;;;;;non;;;;;;non;;;;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;
