"doc";"text.lemma"
"text192";"agglo initier projet alimentaire ambition relocaliser diversifier agriculture alimentation possible développer résilience alimentaire capacité faire face choc crise projet alimentaire formidable opportunité améliorer santé public soutien personne situation précarité dynamiser développer activité économique délocalisable favoriser habitant attractivité agir faveur climat biodiversité faiblesse atout système alimentaire suivant faiblesse diversité production agricole surface grand culture faible autonomie alimentaire fruit légume protéagineux outil transformation commercialisation soutenir filière local fort pression foncier fort précarité alimentaire atout terre historiquement favorable maraîchage commun représentant potentiel production redynamiser action historique faveur agriculture alimentation durable création pôle agriculture biologique près mettre place service commun restauration cuisine centrale airelle création animation réseau acheter local réseau acteur local engager alimentation durable dynamisme économique"
"text193";"particularité agglo richesse matière premier agricole exploitation agricole professionnel vente opérateur agroalimentaire transformateur laboratoire entreprise conseil organisme formation constituer atout préserver prochain année amont aval filière travailler silo connaître suffisamment initiative méconnaître ensemble filière alimentaire doute subsister pérennité exploitation difficile anticiper départ retraite contexte manquer attractivité métier agricole falloir ajouter tension foncier aggraver difficulté installation compte grand richesse produit outil transformation absence solution logistique plateforme groupement producteur permettre approvisionnement correct commerce restaurateur particulier mobilisation commun restauration collectif faible méconnaissance fournisseur mesure approvisionner code marché public compliqué favorable producteur local commun besoin accompagnement augmenter part produit local restaurant collectif connaissance valorisation produit local agglo compte grand variété initiative magasin fermer marché connaissance diversité habitant faible besoin éduquer jeune famille personne situation précarité alimentation local durable cadre enquête banque alimentaire précis besoin spécifique auprès personne situation précarité quartier prioritaire donner suffire besoin accompagnement gaspillage cuisine produit brut équilibre alimentaire"
"text194";"relocalisation alimentation développement filière local face enjeu manquer infrastructure effectuer transformation partir produit local mauvais interconnaissance acteur production agricole restauration collectif besoin enjeu respectif difficulté rentabiliser livraison petit volume difficulté coopération restauration collectif producteur donner prépondérance cuisine centrale rapport cantine approvisionner gré gré acheter volume conséquent multiplication compétence requis développement commercialisation circuit-court métier agricole agroalimentaire pêche aquaculture représenter enjeu avenir transmission exploitation entreprise manquer main transmission compétence attractivité métier interconnaissance habitant agriculteur pression foncier accru réchauffement climatique baisser ressource sécheresse estival érosion contexte international brexit accord européen international terme culture gastronomie face enjeu suivant faible valorisation produit filière local culture gastronomique limité recette local tourisme agricole gastronomique développer accessibilité social alimentation face enjeu suivant précarité amener étendre contexte inflation diminution don gms raison politique lutte gaspillage alimentaire approvisionnement diversifier structure aide alimentaire approvisionnement public précaire compliqué milieu rural difficulté détection précarité alimentaire rural étudiant terme santé alimentaire territorial ambition répondre indicateur santé globalement bon augmentation chiffre obésité enjeu relatif environnement changement climatique qualité eau satisfaisant alteré rejet pesticide nutriment quantité eau souterrain très limité tension palpable ressource eau agriculture premier secteur émetteur ges trait côte risque submersion inondation remonter biseau saler thématique foncier urbanisme comporter enjeu document planification emparer réellement question préservation foncier agricole gouvernance complexifier taille nombre commun mitage espace rural morcellement exploitation recul trait côte difficulté relocalisation exploitation présence accru zone humide freiner également densification difficulté installation transmission lier topographie bâtiment foncier zone littoral propice activité élevage activité permettre diversification"
"text199";"enjeu issu diagnostic maintenir développer pérenniser filière local qualité faire connaître offrir local disponible renforcer lien acteur faire émerger organiser coopération massification logistique circuit vente"
"text2";"agglomération dominant rural doter pôle urbain dynamique composer commun habitant répartir surface agricole utile forêt artificialisé caractériser fort diversité paysage production entité géographique unité urbain contrefort jurer produit vin élevage généralement paysage vallonné tradition bocager production bovin prédominer historiquement fort densité élevage laitier tendre diminuer profit élevage allaiter culture mix culture élevage fort présence élevage équin projet articuler solidarité cohésion territorial transition écologique issu projet schéma agriculture alimentation articuler quatre enjeu produire localement grâce pratique agricole durable permettre grand nombre alimentation local qualité sensibiliser enjeu agriculture alimentation durable créer environnement favorable pérenniser agriculture local alimentaire territorial issu politique public permettre soutenir animer réseau local dense partenaire participer maintien agriculture vivant vivable"
"text20";"couvrir essentiellement agricole terre agricole forêt milieu naturel orientation agricole élevage bovin viande seconde mesure bovin lait marque identité patrimoine alimentaire local fonder ressource savoir-faire traditionnel richesse important pouvoir support développement économique social environnemental pôle urbain représenter concentrer entreprise transformation distribution agroalimentaire établissement formation métier bouche formation initial continuer tiers population cantal bassin consommation important stratégique terme débouché produit alimentaire local faire domicile domicile évolution consommation produit alimentaire local qualité levier important développement alimentation agriculture durable enjeu collaboration étroit collectivité territorial entendre accompagner transition alimentaire restauration collectif centre social acteur incontournable important mettre place action sensibiliser éduquer développer action matière alimentation durable toutes catégorie population accompagner mode consommation tenir compte enjeu alimentaire spécifique population âgé moyenne national enjeu aide vieillissement bon santé prévention dénutrition tel relever acteur santé adepa contrat local santé cantal ars surface agricole selon outil représenter surface théorique suffisant répondre besoin alimentaire population production largement déficitaire voire inexistant appui agriculture cantal association producteur structure accompagnement enjeu accompagner profession agricole part diversifier production tels légume fruit céréale légumineuse part contribution chambre consulaire développer filière correspondant potentialité agronomique besoin structuration filière rester analyser appui partenaire agricole agroalimentaire production carné laitier local travail également mener favoriser rencontre offrir demander pcaet pointe limite agriculture spécialiser fortement exportateur acteur secteur formation recherche développement agricole agroalimentaire présent apporter contribution face enjeu climatique environnemental économique faire évoluer système agricole résilience configuration logistique transport marchandise lien voisin enjeu développement circuit proximité inscrire alimentaire action phare axe développement économique portée service développement territorial collectivité démarche recouper dimension économique travers activité agricole artisanal industriel environnemental social projet initier printemps recrutement charger premier diagnostic réaliser domaine restauration collectif spécifiquement auprès établissement restauration école primaire objectif fixer loi egalim climat résilience atteindre premier élément état lieu tendre démontrer promotion filière local qualité établissement restauration domicile faciliter approvisionnement faveur filière enjeu important évolution demander issue restauration domicile agir restauration collectif école hôpital crèche ehpad restaurant entreprise restauration commercial contribuer répondre enjeu alimentation durable développement agricole agroalimentaire bassin restitution travail élu local cuisinier venir commun représenter aboutir décision unanime engager action pilote restauration domicile"
"text200";"engager année démarche évolution regard enjeu changement climatique principalement sous angle transition énergétique traduire mettre place programme agenda transition pcaet impulser innovation ouverture engager collectivité culture projet coopération partenarial initier stratégie alimentaire territorial fin officiellement labéliser pat émerger janvier ambition initial structurer offrir alimentaire local producteur restaurateur acteur grand distribution commerçant consommateur reconquérir part souveraineté assiette appuyer cuisine centrale assurer repas jour liaison chaud froid site satellite cantine scolaire centre loisir résidence autonomie programme action articuler principalement mobilisation compétence interne restauration collectif public soutenir agriculture local favoriser structuration débouché producteur permettre convive restauration accéder alimentation durable sain présentation important série fusion communal intercommunal epci regrouper commun habitant important superficie intercommunal département intercommunalité établissement public coopération intercommunal epci dominant agricole espace occuper type occupation sol distinguer paysage agricole contraster plaine céréalier étendre largement sud direction espace bocager vallée auge suisse normand ouest colline sud epci communauté commun également marquer grand proportion forestier bénéficier situation géographique stratégique département plein centre région ville trouver quant croiser principal infrastructure transport routier ferroviaire situation géographique représenter intérêt particulier point voir logistique alimentaire circuit long témoigner installation iaa national transnational spécialisé froid entreprise production glace entrepôt frigorifique firme transnational également circuit court émergence groupement rassembler producteur epci cdc alentour coopération interpat envisageable limitrophe aigle mener également projet faveur approvisionnement proximité durable porteur pat caractéristique agricole ra caractériser dynamique agricole évolution marquer diminution nombre exploitation défi lier renouvellement générationnel agriculteur type production prairie élevage surface agricole consacré prairie principalement dédier élevage majoritairement présent ouest élevage orienter filière bovin tant laitier viande également marginalement filière équin céréalier rester dominer culture céréalier oléagineux protéagineux constituer part essentiel paysage agricole local potentiel nourricier théorique intercommunalité présenter disparité important selon type production grand culture élevage dominer largement potentiel nourricier respectivement signifier production secteur dépasser besoin local revanche potentiel nourricier légume fruit faible représentant besoin respectif population type culture sous-représentation augmentation production maraîcher arboricole pouvoir levier important diversifier agriculture faire progresser approvisionnement local population tout réduire dépendance importation diminution cheptel cheptel constant diminution baisser an touchant bovin équidé volaille inverse cheptel porcin connaître léger augmentation compenser perte secteur évolution pratique agricole diversification valorisation produit agricole nombre exploitation engager démarche valorisation progresser observer fort augmentation agriculteur investir démarche biologique bio bénéficier label qualité aop aoc igp lancer transformation produit élément témoigner volonté affirmer développer filière local circuit vente diversification activité agritourisme production énergie renouvelable devenir activité complémentaire agriculteur activité permettre diversifier revenir renforcer attractivité attirant public créer opportunité économique développement circuit court exploitation fermer engager circuit court marquer hausse an évolution témoigner intérêt croissant mode distribution direct producteur consommateur note structuration groupement producteur souhaiter approvisionner restauration collectif représenter volume consommation important renouvellement génération agricole baisser nombre exploitation recensement agricole ra état exploitation agricole baisser exploitation an tendance souligner difficulté maintenir actif agricole importance renforcer attractivité métier préserver emploi agricole vieillissement chef exploitation moyenne âge dépasser an augmentation an demi an vieillissement chef exploitation sujet préoccupation trois an tiers exploitant an poser question quant pérennité exploitation transmission fermer nécessiter moyenne an exploitation devoir préparer défi très courir terme contexte socio-économique subir désindustrialisation progressif année fermeture emblématique usine moulinex usine équipementier automobile janvier pôle moyen normand subir paupérisation vieillissement important population particulièrement centre-ville perte dynamisme attractivité nombre commerce maintien centre ville part réserver commerce bouche réduire marché producteur organisé bourg parfois perte vitesse disparition poissonnier marché laisser seul revendeur légume installer paupérisation population marquer revenir faible taux chômage élevé centre-ville interroger accessibilité alimentation durable qualité ville compte nombre acteur lutte faim précarité alimentaire secours populaire resto coeur jardin epicerie social ccas petit intercommunalité face enjeu santé public important taux obésité désert médical enjeu attractivité création emploi insertion personne politique spécifique tenter répondre label industrie action ville diagnostic local santé accompagnement rtps contexte environnemental dominant agricole connaitre enjeu lier adaptation agriculture changement climatique réduction impact environnemental faveur préservation ressource biodiversité local changement climatique favoriser émergence risque rendement agricole travail giec normand montrer élévation température accompagner hiver chaud fort augmentation nombre jour très fort chaleur échelle région élévation température supérieur intérieur terre rapport zone côtier enjeu spécifique concerner émergence risque rendement agricole céréale travail réaliser poser question résilience culture plaine nouveau solution permettre filière agricole adapter changement climatique commencer tester réflexion variété local blé rustique masse eau état écologique ensemble epci état écologique masse eau surface intercommunalité objectif fixer atteindre état écologique masse eau surface continental cours eau plan eau bassin sdage bassin extension surface artificialisé entraîner perte irréversible terre agricole habitat naturel connaître rythme consommation foncier moyen hectare an terrain football tous jour consommation répartir principalement habitat activité économique équipement public espace bocager epci fort densité haie compte important surface prairie permanent sau enjeu résider tout préservation densification haie faveur bon connexion bosquet réservoir biodiversité particulier sein vaste étendue plain tournée grand culture contexte diminution cheptel réorganisation foncier lier agrandissement exploitation agricole provoquer tendance baisser espace réservoir biodiversité prairie permanent enjeu important consister relever défi densification haie bocager maintien prairie préserver biodiversité lutter phénomène lier aléa climatique croute inondation contexte apparaître nécessaire favoriser émergence demander alimentaire proximité soutenir commerce producteur trouver solution favoriser accès tous toutes alimentation qualité durable personne situation précarité alimentaire ruralité renforcer attractivité métier agricole auprès jeune génération accompagner exploitation démarche transmission poursuivre soutien démarche diversification valorisation production local favoriser développement circuit court dynamiser économie local offrir agriculture proximité travailler réduction impact environnemental agriculture préserver ressource travailler adaptation agriculture changement climatique faveur résilience alimentaire candidat labéllisation niveau pat prévoir nombre action structurant répondre enjeu identifier formation agent éducation alimentaire formation culinaire spécifique personnel cuisine centrale recrutement maraîcher production régie maraîcher objectif fournir produit local frais cuisine centrale tonne légume frais an appréhender modalité potentiel gestion mettre place ensemble action lien foncier agricole définition stratégie foncier agricole intercommunal soutenir transmission installation circuit court bio préservation terre ressource travail logistique circuit court permettre producteur local assurer approvisionnement restauration projet fermer école accompagner cae rhizome lancement étude opportunité mettre place outil économique territorial transformation conservation stockage produit local"
"text201";"pat viser renforcer cohérence action mener créer nouveau synergie relocaliser partie système alimentaire engager transition agricole alimentaire opposer système agriculture initier démarche progrès transition"
"text202";"protection ressource eau qualitatif face pollution diffus perte biodiversité sau agriculture-biologique perte nombre exploitation agricole augmentation sau moyenne exploitation artificialisation sol age moyen agriculteur an transmission taux très faible résilience alimentaire déficitaire catégorie produit oeuf fruit légume pomme terre besoin relocalisation filière durable local insécurité alimentaire taux pauvreté problématique santé"
"text203";"enjeu offrir collégien maritime alimentation durable répondre disposition loi egalim enjeu accentuer politique agricole faveur alimentation durable qualité enjeu permettre accès ressource produire participer développement structuration circuit-court département maritime enjeu favoriser transition écologique prévention gaspillage alimentaire gestion déchet activité restauration enjeu consommer produit local qualité répondre disposition loi egalim sein restaurant administratif enjeu intervenir faveur alimentation durable sein établissement secteur habilité protection enfance enjeu agir nutrition alimentation cadre perte autonomie personne âgé handicaper enjeu poursuivre engagement lutte précarité alimentaire enjeu communiquer sensibiliser associer fédérer acteur question alimentaire"
"text204";"prix foncier très élevé tendance agrandissement exploitation diminution surface prairie phénomène ruissellement important agriculture dépendant produit pétrolier ressource eau vulnérable proportion femme seul enfant personne seul ménage toucher précarité alimentaire restauration collectif pouvoir levier important consommation local"
"text205";"favoriser installation intégration filière porteur projet circuit court valoriser développer production labéliser durable renforcer compétitivité production agricole local créer outil mutualiser acteur filière production transformation agricole améliorer visibilité communiquer offrir produit local consolider mode commercialisation promouvoir démarche innovant sensibiliser enjeu alimentation local durable"
"text207";"agriculture valoriser espace rural façonner paysage activité économique part entier préservation dépendre maintien espace voie circulation adapter relation voisinage apaiser source denrée alimentaire habitant matière premier énergétique éco matériau développement circuit proximité opportunité consommateur communauté urbain métropole qualité lien étroit producteur consommateur évolution agriculture adaptation nouveau attente consommateur enjeu environnemental facteur déterminant préservation biodiversité qualité eau potable lutte phénomène ruissellement inondation enjeu lier transition agroécologique distribution eau potable qualité relever compétence dépense majeur collectivité cause traitement nécessaire filtrer résidu polluant issu partie activité agricole nitrate molécule chimique historiquement conduite polyculture élevage exploitation taille moyenne évoluer nombre exploitation diminuer activité agricole vivrier activité agricole laisser place culture industriel blé lin betterave quelques chiffre issu diagnostic agricole agriculture occuper surface agricole dédier céréale prairie culture industriel nombre exploitation passer nombre etp passer surface agricole cultiver agriculture biologique agriculture-biologique très faible contribuer préservation agriculture nourricier ressource eau maintien prairie agriculture respectueux environnement agriculture-biologique durable sous signe qualité encourager part amont accompagner conversion maintenir prairie part aval accompagner producteur agriculture respectueux trouver débouché économiquement viable conscient enjeu communauté urbain métropole structurer politique territorial agricole alimentaire volontariste baser coopération étroit acteur monde agricole projet alimentaire territorial découler reconnaître officiellement ministère agriculture capacité auto approvisionnement grand aire urbain français dépasser indicateur interroger capacité garantir sécurité qualité approvisionnement alimentaire démarche prospective territorial mener enjeu agricole alimentaire base scénario afterres échelle communauté urbain métropole régional boucle normand métropole réflexion inédit échelle territorial dégager piste travail partager acteur monde agricole accompagner transition secteur activité prochain année nécessaire évolution régime alimentaire baisser surconsommation perte gaspillage inversion proportion protéine origine animal végétal développement filière local maintien accompagnement élevage bovin développement pratique valorisant surface herbe préserver sol ressource eau évolution système culture pratique agroécologique via agriculture biologique octobre communauté urbain métropole engager renouvellement stratégie agricole alimentaire objectif soutenir développement agriculture adéquation besoin échange élu agriculteur local représentant professionnel structure promotion développement agriculture lieu cadre comité pilotage constituer occasion travail permettre dégager objectif stratégie territorial favoriser dialogue apaiser monde urbain monde rural maintenir identité rural préserver espace agricole accélérer transition agroécologique diversification activité agricole renouvellement génération agriculture devenir expérimentation matière modèle alimentaire équitable performant solidaire cadre projet communauté urbain métropole positionner tant animateur démarche territorial innovant viser rassembler contribution acteur local diversité établissement public coopération intercommunal commun structure institutionnel association professionnel atteindre objectif démarche appuyer coopération étroit acteur secteur agricole alimentaire échelle territorial"
"text209";"régional boucle normand créer maintenir coupure vert grand pôle urbain industriel rural habiter fort valeur patrimonial paysagère reconnaître cheval département maritime composer commun concerner intercommunalité quart recouvrir forêt constituer zone humide milieu aquatique milieu naturel importance biodiversité vocation protéger valoriser patrimoine culturel humain face enjeu limiter artificialisation sol préserver valoriser paysage biodiversité répondre besoin habitant service proximité garantie adéquation activité régional souhaiter décliner scénario afterres élargir agglomération porte objectif viser neutralité carbone horizon démarche émerger ambition principal préserver qualité eau prairie donner accès alimentation sain équilibré développer agriculture filière transformation résilient découler plan action pat régional boucle normand"
"text21";"communauté situer région auvergne regrouper commun superficie abriter près habitant mètre altitude distinguer patrimoine architectural gorge trace activité volcanique marquer relief sol production agricole principalement axer élevage bovin laitier viande face défi majeur déclin démographique secteur agricole attente croissant consommateur offrir alimentaire local diversifier qualité pyramide âge actif agricole détériorer progressivement constituer enjeu crucial avenir cadre alimentaire territorial pat communauté encourager diversification agriculteur culture légume production excellence ancrage territorial démarche viser répondre demander local alimentation varier tout valorisant culture traditionnel qualité attention particulier accorder agriculteur approcher âge retraite communauté accompagner conseiller transmission fermer niveau outil transformation production laitier animal présent part atelier transformation production carné développé secteur face manquer main former qualifié travers partenariat communauté engager développement atelier technologique composer atelier découper transformation carné laboratoire cosmétique légumerie domaine légumerie rester potentiel exploiter cabinet étude mandater analyser détail opportunité développement grand partie structure restauration collectif conserver gestion offrir contrôle origine approvisionnement très petit très grand structure approvisionner localement rester parfois complexe raison problématique lier volume prix disponibilité agriculteur communauté souhaiter accompagner restauration collectif organiser rencontre objectif comprendre besoin soutenir synergie surtout accompagner démarche quotidien population communauté âgé an taux pauvreté particulièrement vulnérable risque maladie chronique acteur mobiliser promouvoir santé action diversifier adapter public prioritaire tels personne âgé jeune enfant population situation précarité communauté poursuivre promotion festivité gastronomique chercher valoriser tradition agricole événement emblématique culture local contribuer mettre produit terroir soutenir festivité communauté renforcer identité célèbre patrimoine agricole stimuler dynamisme économique créer lien production consommation local"
"text211";"agglo engager programme répondre problématique enjeu alimentaire territorial venir renforcer action climat énergie territorial local déchet ménager assimilé local urbanisme intercommunal programme action protection ressource eau contrat local santé"
"text212";"projet alimentaire double origine réflexion engager cadre réduction consommation espace agricole réseau cuisinier cantine scolaire municipal souhaiter échanger pratique animation finalement confier intercommunalité fusionner epci transformer commun dimension agricole marquer véritable politique agricole alimentaire formaliser partenaire travers signature accord cadre collectif puis travail recherche-action résilience alimentaire animé grenier abondance renforcer enjeu pat intituler semence résilience alimentaire pat vouloir systémique aborder enjeu agricole soutien installation transmission évolution pratique agroécologie alimentaire structuration filière approvisionnement local éducation alimentation qualité lien enjeu santé"
"text213";"représenter commun majoritairement rural habitant étendre près activité agricole investir espace viticulture représenter moitié surface agricole utile contribuer valeur production agricole place production alimentaire insuffisant répondre demander produit local qualité croissant"
"text214";"production agricole diversifier image paysage écosystème prédominance activité grand culture sau exploitation résilient taille moyenne diversité production certification igp label rouge aoc aop proposition service agritourisme toutefois dynamique collectif privé offrir local toujours adapter demander restauration domicile filière grand culture pêche tournée export produit crier consommer sous-représenté localement diapo suivant producteur besoin visibilité engager débouché rhd anticipation commande mois avance contrat long tout fort dynamique développement circuit-court proximité exploitation favoriser demander touristique soutenir projet financement européen enjeu environnemental important changement climatique gestion ressource eau levier majeur niveau pratique agricole culture puits carbone allié poids faire face changement climatique retard rattraper développement surface agricole bio sau échelle national recenser bio conversion fort pression foncier artificialisation consommation espace naturel agricole passer an an zone sensible protéger natura loi littoral partie entretenu activité agricole aquacole réglementation pouvoir révéler contraignant installation tunnel maraîcher enjeu préservation foncier agricole renouvellement actif agricole"
"text215";"objectif principal pat progresser autonomie alimentaire île concrétiser lutte friche déprendre agricole structuration offrir local création débouché produit action sensibilisation jeune grand public alimentation sain local durable action sensibilisation réduction déchet lutte gaspillage alimentaire préservation quantitatif qualitatif ressource eau sol biodiversité accompagnement agriculteur porteur projet agricole adaptation système agricole changement climatique réhabilitation marais revitalisation ancien filière durable historique filière sel filière blé"
"text216";"engager lutte gaspillage alimentaire valorisation circuit court communauté commun engager projet alimentaire mettre adéquation offrir demander local approcher progressivement résilience alimentaire viser faciliter coexistence activité dominant viticulture permettre atteindre résilience alimentaire conjointement nécessité structurer développer filière maraîchage production distribution projet intègre accès tous alimentation sain durable projet alimentaire inscrire suite logique prendre conscience collectif progressif nécessité manger produire investir année action viser rendre accessible alimentation sain traduire travail terrain restaurant scolaire producteur local favoriser circuit court proposer menu adapter opération éducation sensibilisation lutter gaspillage alimentaire diminution jour élève valoriser fruit légume saison action conduite grâce recrutement diététicien mobilisation service prévention déchet partenariat signer mettre initiative département maritime région puis europe agriculture msa initiative cours réalisation approvisionnement école produit labéliser fermer maraîcher pédagogique régie municipal créer près kilo légume récolter premier mois compléter légumerie outil mettre disposition acteur filière producteur transformateur distributeur restauration collectif métier bouche agir projet structurer filière alimentaire vente circuit courir restauration collectif projet type cours résilience alimentaire enjeu majeur production agricole exporter population dynamique croissance régulier relatif influence métropole bordelais attractivité croissant économie tourisme cadre vie schéma cohérence territorial plan climat énergie occasion acter volonté politique fort aller sentir susciter émergence projet agricole étendre superficie départementale activité agricole concerner près superficie total hectare emploi agricole représenter emploi local demander fort disposer offrir alimentaire qualitatif proximité initiative émerger soutenir cadre contractualisation partenaire crte actualiser contrat région contrat département cours projet savoir voir jour production agricole tournée besoin particulier maraîchage attention particulier portée préservation terre agricole orientation scot pcaet développement emploi local secteur agriculture agroalimentaire structuration filière valorisation produit local développement commercialisation circuit-court proximité"
"text217";"agriculture très spécialiser bovin viande naisseur perspective préoccupant faible attractivité pénaliser reprise fermer existant omniprésence agriculture autonomie alimentaire limité manquer diversité production foncier relativement accessible atout pluviométrie conséquent toutefois favoriser émergence cours dernier année projet installation porter cadre familial installation tendre nuancer constat précédent"
"text218";"enjeu alimentaire corrézien favoriser achat produit local auprès restauration collectif disposer diversité important production actuellement structurer rendre difficile approvisionnement cantine contrario producteur disposer information nécessaire répondre besoin restauration collectif effectif restreint nécessiter matière premier favoriser accès alimentation qualité local toutes tous vente marché visible habitant population touriste très important période estival parallèle constater question précarité alimentaire sujet échapper campagne structure aide alimentaire voir nombre bénéficiaire croître année accompagner renouvellement génération exploitant agricole vieillissement exploitant agricole également sujet sein nombre exploitation agricole diminuer si production telles maraîchage inscrire tendance plutôt favorable globalement prochain année devoir faire départ important retraite producteur"
"text219";"rural dimension agricole fort près exploitation agricole majoritairement orienter polyculture élevage vaste zone élevage bovin allaitant surface toujours herbe important exploitation agricole pratiquer vente vaste diversité produit local présenter aller viande légume fruit pomme poire petit fruit passer produit laitier huile légumineuse pâte autonomie alimentaire théorique outil crater estimer largement boosté faible nombre habitant grand volume production produit issu filière animal rural jouir grand qualité environnemental présence bocage préserver recul zone solde migratoire positif population global diminution atteindre habitant"
"text22";"travers élaboration paat communauté partenaire objectif aboutir création système agricole alimentaire territorial préserver valoriser ressource local créateur valeur ajouter producteur lien social habitant démarche vocation inscrire projet intercommunalité véritable feuille route transversal ambitieux structurant avenir situer massif central cantal communauté rural moyenne montagne regrouper commun volcan vallée étendre grand majorité sein régional volcan auvergne couvrir partie majeur partie vallée paysage très diversifier dominant espace naturel agricole varié agriculture principalement orienter élevage bovin exploitation spécialisé bovin allaiter bovin lait bovin mixte bassin bénéficier microclimat favorable production végétal maraîchage viticulture arboriculture production historiquement très présenter zone condition propice diversification activité agricole présence production végétal emblématique vigne ppam pomme représenter opportunité système élevage principalement baser prairie représenter sau totalité zone montagne écosystème riche biodiversité façonner paysage permettre préserver qualité eau stocker carbone organique également atout produire produit qualité prairie valoriser soumettre pression sécheresse pullulation campagnol terrestre aop fromager auvergnat aop cantal aop salers aop aop auvergne aop fourme présenter parfois rémunérateur filière bovin viande existence label rouge salers fermier bovin exporter sous forme entraîner perte valeur ajouter communauté disposer outil transformation particulier pôle viande abattoir atelier découper régie municipal collectivité investir travail rénovation permettre faire outil structurer favoriser filière local communauté également confronter baisser démographique conséquent maintien activité agricole largement attractivité enjeu majeur activité agricole structurant vie local actif agriculteur si nombre exploitation diminuer baisser risque poursuivre détérioration pyramide âge exploitant agricole jour compte vingtaine installation agriculture an porteur projet souhaiter installer confronter difficulté accès foncier densité population faible compte vingtaine établissement restauration collectif établissement scolaire hospitalier ehpad représentant repas an attente fort terme approvisionnement local durable qualité accompagnement professionnel dénombrer également soixantaine restaurant commercial activité touristique hiver domaine skiable commerce bouche épicerie marché local irriguer initiative local permettre valoriser producteur local tels magasin producteur amap drive fermier communauté engager année démarche transversal cls contrat enfance jeunesse communauté lien thématique agriculture alimentation ancien communauté commun également définir stratégie intervention agriculture alimentation issue vaste travail concertation cadre compétence faveur développement économique aménagement communauté contribuer démarche collectif accompagner agriculture alimentation projet bio viser développer agriculture biologique consommation produit biologique projet temoin axer réflexion transversal transmission agricole accompagnement porteur projet rénovation abattoir public cantal opération semence local mener partenariat communauté paat positionner poursuite travail représenter réel opportunité rassembler concerter acteur local volonté pérenniser coordonner action place favoriser émergence"
"text220";"novembre lancer démarche alimentaire territorial pat suite adoption loi avenir agriculture alimentation forêt octobre pat viser rapprocher producteur transformateur distributeur collectivité territorial consommateur développer agriculture qualité alimentation pat destiner encourager développement circuit court proximité géographique producteur agricole transformateur consommateur délégation lancer diagnostic connaître atout limite matière agricole politique alimentaire opportunité constituer pat permettre connaître existant terme acteur synergie outil place scot plui pouvoir évaluer enjeu mettre place action lien thématique véritable politique agricole alimentaire représenter poids important agriculture exister exploitation agricole sau selon recensement agricole exploitation diminution sau rapport recensement plan sociologique vieillissement actif agricole compenser entrant transmission exploitation difficile enjeu thématique pouvoir susciter nouveau vocation agricole éviter reprise exploitation exploitant an contexte crise agricole foncier urbanisation recul générer pression artificialisation sol mesure préservation espace agricole prévaloir diversité filière agricole présenter polyculture céréale viticulture élevage bovin laitier viande élevage élevage avicole oie canard culture permanent terme filière viticulture représenter près desexploitations tiers sau contribuer rayonnement agricole grâce désappellations jouir notoriété niveau économique producteur face faiblesse volatilité prix revenir réchauffement climatique hausse fréquence évènement météorologique extrême raréfaction ressource eau aggraver situation agriculture diagnostic état initial environnement réaliser état impact agriculture qualité eau souterrain masse eau souterrain présenter rencontrer ensemble problème qualitatif aquifère présent présenter pollution diffus phytosanitaire nitrate pesticide activité agricole partie origine pollution diffus générer culture céréalier maraîchage viticulture objectif pat lien contrat progrès territorial agence eau pouvoir identifier analyser remettre fonction puits captage napper alluvial eau potable tout sensibiliser producteur pratique vertueux général secteur agroalimentaire distinguer engagement prononcer démarche qualité agriculture biologique selon ra près exploitant agricole bénéficier signe qualité signe aoc aop igp label qualité label exploitation engager agriculture biologique niveau transformation industrie agroalimentaire constituer part important secteur industriel niveau établissement industriel transformation agroalimentaire opérer seul dédier transformation légume confirmer filière maraîcher légume niveau distribution compte exploitant commercialiser produit circuit court marché local contribuer manière notable force agroalimentaire site accueillant marché producteur trouver matière plateforme physique mettre relation offrir demander mutualisation commande stockage approvisionnement doter association producteur manger plateforme fournir exclusivement produit issu agriculture biologique approvisionner restauration collectif public constituer déboucher producteur plateforme posséder point collecte matière transport entreprise trouver position quasi monopolistique marché transport frigorifique denrée alimentaire situation susceptible créer risque approvisionnement cas cessation activité entreprise restauration collectif public gérer majoritairement gestion décentraliser repas-préparés place besoin formation personnel cuisine manger local axe privilégié pat sensibilisation citoyen consommateur pratique quotidien enjeu préservation environnement santé public développement économique territorial partir thématique mettre pat système alimentaire miser synergie potentiel touristique patrimoine historique bastide village classer zone natura bénéficier notoriété image si posséder atout agricole agroalimentaire spécifique menacer crise global monde rural agricole crise dimension plan sociologique démographique travail agricole bassin consommation alimentaire grever prégnance chômage pauvreté vieillissement population taux pauvreté moyenne pondéré epci supérieur point moyenne national or situation pauvreté fortement corréler situation insécurité alimentaire pat vouloir systémique conscient enjeu social environnemental économique action mener faveur résilience agricole alimentaire"
